name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;933;0;910;3115;1761;3115;1571;0
header;166;149;166;186;1805;186;1805;149
A;1516;220;1516;228;1523;228;1523;220
A;1330;344;1330;349;1336;349;1336;344
A;944;721;944;727;951;727;951;721
A;1076;761;1076;767;1082;767;1082;761
A;1548;1185;1548;1191;1555;1191;1555;1185
A;976;1972;976;1973;978;1973;978;1972
A;1663;2015;1663;2020;1668;2020;1668;2015
A;1142;2093;1142;2118;1156;2118;1156;2093
A;1631;2132;1631;2157;1645;2157;1645;2132
A;922;2262;922;2287;936;2287;936;2262
A;1395;2851;1395;2856;1401;2856;1401;2851
