name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;385;0;338;3119;1508;3119;1391;0
header;165;136;165;171;1799;171;1799;136
A;592;132;592;133;594;133;594;132
A;936;196;936;196;936;196;936;196
A;999;339;999;340;1001;340;1001;339
A;1235;391;1235;391;1235;391;1235;391
A;1000;428;1000;429;1001;429;1001;428
A;1000;566;1000;568;1001;568;1001;566
A;1303;652;1303;655;1306;655;1306;652
A;1000;707;1000;709;1003;709;1003;707
A;1001;757;1001;758;1004;758;1004;757
A;885;893;885;894;885;894;885;893
A;679;923;679;926;680;926;680;923
A;623;969;623;970;623;970;623;969
A;1281;970;1281;972;1283;972;1283;970
A;1003;1070;1003;1070;1003;1070;1003;1070
B;1418;1075;1418;1094;1432;1094;1432;1075
A;562;1197;562;1197;563;1197;563;1197
A;1005;1314;1005;1315;1005;1315;1005;1314
B;668;1442;668;1461;682;1461;682;1442
A;1176;1521;1176;1521;1179;1521;1179;1521
B;950;1622;950;1641;964;1641;964;1622
B;1060;2324;1060;2354;1085;2354;1085;2324
C;346;2385;346;2411;373;2411;373;2385
B;1372;2487;1372;2498;1380;2498;1380;2487
B;1193;2521;1193;2540;1209;2540;1209;2521
B;639;2527;639;2545;655;2545;655;2527
A;921;2630;921;2641;928;2641;928;2630
B;506;2806;506;2824;521;2824;521;2806
